"","month","id","gender","symbol","count","DEG.18","DEG.24","DEG.both"
"194","3","38","F","X1810065E05Rik",30,"None","None",FALSE
"195","3","39","F","X1810065E05Rik",141,"None","None",FALSE
"196","18","53","M","Agr2",260,"None","None",FALSE
"197","18","45","M","Agr2",679,"None","None",FALSE
"198","18","46","F","Agr2",445,"None","None",FALSE
"199","18","47","F","Agr2",334,"None","None",FALSE
"200","24","60","M","Agr2",96,"None","None",FALSE
"201","24","59","M","Agr2",141,"None","None",FALSE
"202","24","58","M","Agr2",143,"None","None",FALSE
"203","24","61","M","Agr2",80,"None","None",FALSE
"204","3","8","M","Agr2",173,"None","None",FALSE
"205","3","9","M","Agr2",247,"None","None",FALSE
"206","3","10","M","Agr2",617,"None","None",FALSE
"207","3","11","M","Agr2",371,"None","None",FALSE
"208","3","56","F","Agr2",139,"None","None",FALSE
"209","3","38","F","Agr2",107,"None","None",FALSE
"210","3","39","F","Agr2",680,"None","None",FALSE
"211","18","53","M","Cldn23",146,"None","Down",FALSE
"212","18","45","M","Cldn23",304,"None","Down",FALSE
"213","18","46","F","Cldn23",261,"None","Down",FALSE
"214","18","47","F","Cldn23",300,"None","Down",FALSE
"215","24","60","M","Cldn23",51,"None","Down",FALSE
"216","24","59","M","Cldn23",20,"None","Down",FALSE
"217","24","58","M","Cldn23",138,"None","Down",FALSE
"218","24","61","M","Cldn23",24,"None","Down",FALSE
"219","3","8","M","Cldn23",218,"None","Down",FALSE
"220","3","9","M","Cldn23",179,"None","Down",FALSE
"221","3","10","M","Cldn23",377,"None","Down",FALSE
"222","3","11","M","Cldn23",240,"None","Down",FALSE
"223","3","56","F","Cldn23",83,"None","Down",FALSE
"224","3","38","F","Cldn23",96,"None","Down",FALSE
"225","3","39","F","Cldn23",430,"None","Down",FALSE
"226","18","53","M","Hsd17b2",27,"None","None",FALSE
"227","18","45","M","Hsd17b2",33,"None","None",FALSE
"228","18","46","F","Hsd17b2",16,"None","None",FALSE
"229","18","47","F","Hsd17b2",47,"None","None",FALSE
"230","24","60","M","Hsd17b2",20,"None","None",FALSE
"231","24","59","M","Hsd17b2",8,"None","None",FALSE
"232","24","58","M","Hsd17b2",37,"None","None",FALSE
"233","24","61","M","Hsd17b2",17,"None","None",FALSE
"234","3","8","M","Hsd17b2",43,"None","None",FALSE
"235","3","9","M","Hsd17b2",38,"None","None",FALSE
"236","3","10","M","Hsd17b2",71,"None","None",FALSE
"237","3","11","M","Hsd17b2",50,"None","None",FALSE
"238","3","56","F","Hsd17b2",18,"None","None",FALSE
"239","3","38","F","Hsd17b2",29,"None","None",FALSE
"240","3","39","F","Hsd17b2",61,"None","None",FALSE
"241","18","53","M","Sult1b1",24,"None","None",FALSE
"242","18","45","M","Sult1b1",95,"None","None",FALSE
"243","18","46","F","Sult1b1",97,"None","None",FALSE
"244","18","47","F","Sult1b1",82,"None","None",FALSE
"245","24","60","M","Sult1b1",20,"None","None",FALSE
"246","24","59","M","Sult1b1",0,"None","None",FALSE
"247","24","58","M","Sult1b1",80,"None","None",FALSE
"248","24","61","M","Sult1b1",30,"None","None",FALSE
"249","3","8","M","Sult1b1",58,"None","None",FALSE
"250","3","9","M","Sult1b1",81,"None","None",FALSE
"251","3","10","M","Sult1b1",97,"None","None",FALSE
"252","3","11","M","Sult1b1",108,"None","None",FALSE
"253","3","56","F","Sult1b1",23,"None","None",FALSE
"254","3","38","F","Sult1b1",23,"None","None",FALSE
"255","3","39","F","Sult1b1",72,"None","None",FALSE
"256","18","53","M","Mgat4c",86,"None","None",FALSE
"257","18","45","M","Mgat4c",321,"None","None",FALSE
"258","18","46","F","Mgat4c",86,"None","None",FALSE
"259","18","47","F","Mgat4c",142,"None","None",FALSE
"260","24","60","M","Mgat4c",35,"None","None",FALSE
"261","24","59","M","Mgat4c",18,"None","None",FALSE
"262","24","58","M","Mgat4c",41,"None","None",FALSE
"263","24","61","M","Mgat4c",13,"None","None",FALSE
"264","3","8","M","Mgat4c",90,"None","None",FALSE
"265","3","9","M","Mgat4c",108,"None","None",FALSE
"266","3","10","M","Mgat4c",171,"None","None",FALSE
"267","3","11","M","Mgat4c",120,"None","None",FALSE
"268","3","56","F","Mgat4c",57,"None","None",FALSE
"269","3","38","F","Mgat4c",44,"None","None",FALSE
"270","3","39","F","Mgat4c",207,"None","None",FALSE
"271","18","53","M","Rnf186",315,"None","None",FALSE
"272","18","45","M","Rnf186",631,"None","None",FALSE
"273","18","46","F","Rnf186",527,"None","None",FALSE
"274","18","47","F","Rnf186",502,"None","None",FALSE
"275","24","60","M","Rnf186",124,"None","None",FALSE
"276","24","59","M","Rnf186",234,"None","None",FALSE
"277","24","58","M","Rnf186",206,"None","None",FALSE
"278","24","61","M","Rnf186",87,"None","None",FALSE
"279","3","8","M","Rnf186",212,"None","None",FALSE
"280","3","9","M","Rnf186",288,"None","None",FALSE
"281","3","10","M","Rnf186",484,"None","None",FALSE
"282","3","11","M","Rnf186",259,"None","None",FALSE
"283","3","56","F","Rnf186",215,"None","None",FALSE
"284","3","38","F","Rnf186",243,"None","None",FALSE
"285","3","39","F","Rnf186",586,"None","None",FALSE
"286","18","53","M","Hgfac",47,"None","None",FALSE
"287","18","45","M","Hgfac",164,"None","None",FALSE
"288","18","46","F","Hgfac",143,"None","None",FALSE
"289","18","47","F","Hgfac",142,"None","None",FALSE
"290","24","60","M","Hgfac",16,"None","None",FALSE
"291","24","59","M","Hgfac",36,"None","None",FALSE
"292","24","58","M","Hgfac",69,"None","None",FALSE
"293","24","61","M","Hgfac",6,"None","None",FALSE
"294","3","8","M","Hgfac",30,"None","None",FALSE
"295","3","9","M","Hgfac",34,"None","None",FALSE
"296","3","10","M","Hgfac",121,"None","None",FALSE
"297","3","11","M","Hgfac",52,"None","None",FALSE
"298","3","56","F","Hgfac",26,"None","None",FALSE
"299","3","38","F","Hgfac",27,"None","None",FALSE
"300","3","39","F","Hgfac",145,"None","None",FALSE
"301","18","53","M","Fam3b",32,"None","None",FALSE
"302","18","45","M","Fam3b",71,"None","None",FALSE
"303","18","46","F","Fam3b",65,"None","None",FALSE
"304","18","47","F","Fam3b",57,"None","None",FALSE
"305","24","60","M","Fam3b",8,"None","None",FALSE
"306","24","59","M","Fam3b",0,"None","None",FALSE
"307","24","58","M","Fam3b",5,"None","None",FALSE
"308","24","61","M","Fam3b",11,"None","None",FALSE
"309","3","8","M","Fam3b",8,"None","None",FALSE
"310","3","9","M","Fam3b",35,"None","None",FALSE
"311","3","10","M","Fam3b",63,"None","None",FALSE
"312","3","11","M","Fam3b",39,"None","None",FALSE
"313","3","56","F","Fam3b",8,"None","None",FALSE
"314","3","38","F","Fam3b",0,"None","None",FALSE
"315","3","39","F","Fam3b",45,"None","None",FALSE
"316","18","53","M","Entpd8",59,"None","None",FALSE
"317","18","45","M","Entpd8",202,"None","None",FALSE
"318","18","46","F","Entpd8",304,"None","None",FALSE
"319","18","47","F","Entpd8",227,"None","None",FALSE
"320","24","60","M","Entpd8",67,"None","None",FALSE
"321","24","59","M","Entpd8",51,"None","None",FALSE
