"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Atp10b","Atp10b",318.3357249,190.4126061,335.5549844,219.1118897,162.3232384,300.764363,549.50241753,194.2058326,110.553283,121.0519655,276.6995252,56.6300662,735.640967,527.0014623,287.0761053
"Kcnq1","Kcnq1",60.5347639,13.2525339,27.3950348,22.9363075,2.1538043,30.3198323,134.78842186,2.6213732,4.785025,18.70265,9.3575354,24.4186347,164.7628833,38.5077813,47.841551
"Ttc39a","Ttc39a",633.754863,389.8854368,585.8808102,458.9552592,354.0352647,735.3748365,1024.3741557,340.799631,228.0376159,207.6262334,324.0947487,174.7691187,1180.5281812,1247.7002858,495.1048556
"Vsig2","Vsig2",223.6688512,291.6718933,481.213814,263.3306467,343.41636579,373.1727556,536.5467142,194.1149597,97.6279341,66.4753433,62.6707737,75.1105425,356.310872,281.1738224,186.870476
"Sult1a1","Sult1a1",204.8757642,59.73169296,166.7567143,92.6397497,98.05741818,88.9208745,271.39104634,54.7026353,26.9166334,53.2737023,60.236545,36.8904873,396.66784086,278.77365558,72.2512804
"Slc44a3","Slc44a3",433.0861293,296.3710251,334.4091607,416.0400428,226.92881887,565.8189282,772.944576,284.6652252,189.7021735,113.6597813,197.6183258,132.0594108,893.3575897,1028.3631578,393.043345
"Igsf5","Igsf5",363.5829237,264.3600029,425.2507186,302.5440491,264.8621235,403.9684824,739.3108322,182.6466412,123.3593505,97.6227291,204.520433,78.6568386,691.532473,624.1505676,322.0334479
"X5330417C22Rik","X5330417C22Rik",573.9759902,393.2899556,569.2574533,471.111028,394.04856884,747.4727202,987.5900822,330.3002988,243.64568,199.1765502,359.4231504,199.8701694,1045.4599901,1237.3649907,504.1780684
"Gsdmc4","Gsdmc4",75.3229655,27.6420276,62.3788073,56.2884918,21.94358364,71.1118344,123.7176959,40.1842452,14.7046718,19.0843239,31.851628,23.3246145,230.0842388,225.9069509,26.1059468
"C2cd4b","C2cd4b",437.9221763,382.4406931,578.8952105,355.1438034,331.9847809,516.4962818,814.549008,272.213929,173.5659766,149.0263135,229.1779339,173.8539147,819.760124,1048.1453875,443.81922324
"Chmp4c","Chmp4c",399.2597128,175.2279322,331.7570927,224.9884289,152.1136695,238.4565682,572.1222736,107.3826761,103.9118717,114.4500244,172.5795911,59.8376435,615.8652933,544.1870761,310.7727673
"Btnl1","Btnl1",64.8947106,42.7401807,27.2854386,84.5124163,51.2955876,52.891525,179.2361825,71.2409998,27.993897,28.5984655,43.0472592,9.7342782,81.2661167,65.3420277,34.284509
"Tff3","Tff3",691.31413,331.1968802,590.4672539,413.1498153,396.2664867,790.2321153,1232.8028976,418.4915928,253.3494801,246.7032741,382.8156202,203.4182629,1415.7250355,976.57654094,491.5872096
"X2610528J11Rik","X2610528J11Rik",538.4600865,266.6730299,541.4647188,280.455285,366.7824318,616.625776,1024.5839263,255.381032,97.5971486,134.4870168,177.5245497,93.7715219,920.7952285,864.0105408,332.7314499
"X2700086A05Rik","X2700086A05Rik",471.9833089,345.7510207,575.4853745,372.271888,388.9693981,449.3455056,769.5969258,208.1310778,144.0118266,144.5214755,131.5065951,125.8614516,881.2882198,829.2198313,426.3523792
"Gm15401","Gm15401",436.9215231,153.9449934,428.4286477,244.5546232,242.867398,331.9856611,844.2067887,183.6929187,112.9934381,164.7478627,203.51813,59.9499493,834.6010215,764.3148482,285.385528
"Ggt6","Ggt6",339.0002736,215.5708881,383.7633879,261.536531,253.8726992,353.1896489,684.5793107,190.853822,145.3267774,120.0189148,171.4092453,79.3404216,742.7990685,623.9680596,259.6617701
"H2.Q2","H2.Q2",230.91496383,160.0325581,305.1768667,215.2955899,152.459421,320.3746649,496.4570301,141.8918412,76.7037102,68.7503988,75.7163896,24.9430397,372.4201893,439.9336987,241.6320618
"Hoxb9","Hoxb9",289.9495739,299.4370314,274.8735261,322.0914577,304.3954164,361.8613829,595.6568777,238.0159773,157.9204069,124.70415,191.2313953,93.4373314,544.2358922,519.2544602,370.6437307
"Ush1c","Ush1c",509.0749431,279.2194782,466.0688234,324.2842185,215.14893934,563.3560794,706.5694904,273.5580537,130.3297621,147.9276619,202.7196554,122.718805,903.8215931,817.7584415,384.4532724
"Slc22a18","Slc22a18",302.1479826,137.195025,335.4773333,192.7921937,164.72330976,300.5676895,467.5259159,128.7568428,63.6501998,70.4554131,115.0645357,34.9764378,532.7802825,440.4955147,173.6742188
"Arhgef16","Arhgef16",436.4601425,211.2743546,301.0188045,367.1278723,213.5883158,603.7243374,688.10968067,300.9901486,180.3817411,133.400463,289.012519,100.0653287,862.7573367,862.279713,391.341382
"Cyp4f40","Cyp4f40",228.8612266,153.1369237,255.5524559,150.3804342,84.6230555,223.4931955,347.2598282,94.8426067,64.743508,60.0892604,115.3917244,39.121222,420.8189908,375.1597273,221.7816846
"Rpph1","Rpph1",228.2224024,138.6446158,320.0631272,152.6711497,69.1695584,61.5176183,368.6715069,48.2084013,67.1374658,57.5961347,188.048545,77.6392334,574.503688,370.2807274,131.7244051
"Inpp5j","Inpp5j",77.6461914,109.92154956,96.3646903,134.8295366,46.7573904,105.521875,123.924513,65.966358,70.3879794,43.0795955,61.828262,54.5125813,217.2158381,273.7005699,134.3935668
"Fgfbp1","Fgfbp1",223.4469009,54.8466508,100.0648676,87.2423431,52.91744884,206.3520106,297.7041245,47.7925833,52.4953754,52.7829026,91.7958443,32.1106673,370.6325588,252.9544607,133.4743107
"Slc5a8","Slc5a8",95.8476383,38.5933187,38.0345956,57.0576319,26.1651236,33.3700712,104.61005975,22.2240056,12.9487105,34.2576698,8.3695863,15.3055598,158.8266939,72.4319372,70.6531863
"Slc5a1","Slc5a1",216.0637319,230.0643405,197.7005721,217.7025481,164.29714564,225.3589049,350.57279026,126.0739875,119.0621171,102.6599959,135.0575676,73.4483804,488.249776,441.976946,308.820042
"Rassf6","Rassf6",560.4220077,354.0948132,575.8407464,394.2699925,289.80249835,600.7645838,1003.2426727,297.7069436,193.5429753,161.5439478,295.7673947,119.7284747,1153.7312457,1109.5456875,450.6848279
"Frk","Frk",310.7197588,218.0614718,261.0515889,207.6878373,66.048292,241.710553,415.3514851,115.0654135,97.3687858,78.1135354,161.7193876,73.2700538,562.4004649,358.0012223,315.8822687
"Ap1m2","Ap1m2",501.9388263,227.7730838,478.4973231,293.0577019,322.88079343,629.4332301,898.7849843,256.0505648,145.8282993,125.8244161,188.5978398,102.9434655,982.1225832,1037.0931174,386.5764141
"Tmem171","Tmem171",481.5445529,250.5840704,536.7192552,272.2349049,327.2635192,533.3120424,976.203397,232.8940061,139.647898,138.9837549,201.7720458,119.6996845,1132.9309039,910.6418307,386.7647684
"Myh14","Myh14",266.5611317,220.9330574,297.2651226,312.7530469,208.4055906,414.2968021,469.18175035,226.3342476,141.5235092,150.6252223,275.5900314,115.9949132,545.5982413,490.1577718,292.120283
"Fabp2","Fabp2",327.8850859,322.6090786,471.1644435,322.0623527,417.15717675,501.4028428,545.9698936,270.6929488,163.8086276,93.6529989,134.2107647,98.24176,465.0204089,494.5099129,335.8461924
"Spdef","Spdef",594.1015755,501.3680794,780.1583325,517.5628747,501.8454839,766.699744,1197.4043549,440.4115845,280.1185376,214.7495,337.6031962,231.8392595,1190.506573,1311.6762977,548.2976093
"Gm1123","Gm1123",622.9022312,434.8356838,725.1250256,436.5893765,543.4644492,838.8299238,1242.684849,404.1818318,267.2563903,213.0424954,386.8185721,180.6275161,1225.9686416,1276.3688282,497.3908533
"Slc37a1","Slc37a1",519.5902082,327.9450972,516.1002137,408.7032775,339.3107974,609.7778199,927.3978759,333.0052005,224.9985178,191.449735,340.7278801,160.9538375,1053.6857274,1048.8597436,450.3287607
"Ces1f","Ces1f",73.334893,155.2119849,68.388083,176.2537669,149.0563529,152.4624676,213.7315178,61.4491174,64.4400556,43.971404,69.126121,24.468172,180.176255,106.1189912,162.8504085
"Grb7","Grb7",385.4892302,234.0475508,397.9158658,274.7755602,224.1236839,478.7623145,773.2521716,256.8387034,121.3618834,99.3061978,206.1605447,103.6811296,821.023515,739.2608187,352.6542733
"Trpm4","Trpm4",287.7315186,241.9452552,230.6339898,320.543982,255.54248356,373.2309377,541.5974301,229.9631954,188.2039958,136.1922985,197.8898304,177.7043416,520.3702236,456.4622677,377.8375507
"Mgam","Mgam",251.4627447,177.9235097,209.1134177,251.8469541,190.9402691,222.9241347,488.0003602,128.2937053,138.825499,107.9490435,175.1507058,50.6285915,548.501419,481.5229145,255.0471944
"Akr1c12","Akr1c12",437.61852916,243.6789716,478.9745845,243.426391,270.3692834,496.6594646,915.25276366,219.8184719,146.2052989,133.1033883,194.4993008,109.2756334,916.7933951,733.487297,327.737053
"Grtp1","Grtp1",565.4862046,281.5248549,578.4925538,329.1111082,386.1014524,713.6525529,1113.7056924,298.6770915,207.1061175,135.9785797,241.1851047,97.7296187,1121.2709192,1150.7703022,400.4945404
"Hoxa11as","Hoxa11as",297.7696152,147.643495,451.6524836,127.189607,36.4882624,234.0958074,599.1378793,72.1077949,47.9654269,68.4658644,105.4301576,42.1834333,649.08063,930.9499518,146.0055208
"Rassf7","Rassf7",388.02090064,205.0222886,379.2434444,226.3704462,210.9639963,348.6039118,601.22639247,200.7350866,119.7380738,70.4957892,208.0015719,58.8333922,734.9400376,694.1081109,307.1476959
"Dhrs11","Dhrs11",294.6354465,138.0495017,186.6924234,164.1470077,96.3295912,246.7786595,304.4350729,102.350155,38.5941857,47.3551104,106.0847458,30.7537385,396.5006052,326.4079784,171.3671764
"X1110017F19Rik","X1110017F19Rik",690.4455001,452.5253001,808.3959249,472.9843645,610.0953582,851.9427689,1353.5039143,441.0742044,242.9379552,217.4879548,373.8394871,207.7606146,1369.5623631,1288.6690954,542.3279578
"AA467197","AA467197",435.0658058,186.4186293,451.1628832,189.8626288,267.73103384,464.4380648,757.3181894,261.72169635,132.8469985,150.9189323,210.3007605,82.4050219,759.6650759,495.8866022,234.0548666
"Ildr1","Ildr1",413.2286502,206.1712796,309.9321705,289.2599008,175.1807788,476.6677519,649.9011939,234.9942871,183.9035101,111.2097863,244.3698733,94.4373219,746.9883513,805.9729504,359.4947335
"Prelid2","Prelid2",387.7478406,156.8638362,395.4517751,241.6050086,279.7885662,466.917961,775.6679027,207.3842409,90.0498978,73.2546347,161.4197491,75.4184802,783.0934042,760.5394963,261.4780661
"D730039F16Rik","D730039F16Rik",301.5742521,142.4711074,350.5122949,213.9761758,170.8330082,305.0979816,508.9039365,141.3653869,110.4826503,105.5921256,167.4990236,55.787832,648.755755,701.1476372,289.1610132
"Galnt12","Galnt12",592.6957292,385.9134626,613.7070604,439.5541127,392.6211088,775.1761374,1145.1360094,380.3615923,233.1075189,193.2269112,335.0165465,194.7961802,1180.0291181,1208.4398741,514.7440234
"Foxd2","Foxd2",147.4329751,214.4974059,158.1523271,278.7192183,109.0495058,350.4143952,369.562482,135.1766735,115.231851,67.249813,182.7408333,80.775191,272.0995615,703.4224396,286.6019513
"Hnf4g","Hnf4g",233.7503661,69.0953224,172.8735124,152.9021283,60.3325753,113.4937355,322.3139276,110.8271907,70.7092648,60.6077378,115.0035452,32.8804118,406.6044576,168.5377108,243.3109414
