"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"2034","Nt5c3",63.105836874,74.788231918,17.778622564,39.424312785,2.527120814,51.888466699,63.6332199651,69.123461721,85.649440678,87.115258256,53.4172266283,16.82979287,66.396686391,40.486151924,137.4437380633
"2035","Mir1938",14.15162418,19.369793825,3.11094326,10.73411648,2.8446406,1.8236777,5.870440396,16.81244028,42.66350417,30.510356446,23.15595828,3.65780101,10.32615039,9.69648492,53.416776419
"2036","Bckdk",106.03360997,79.86606827,30.618240029,52.391254725,8.66667491,77.646694561,78.1174184463,86.994885128,115.221327841,85.024724975,60.9316041,25.35875076,90.976839862,49.340511721,172.017597063
"2037","E2f5",52.469354816,50.045362844,9.486791492,35.3097342633,4.18071933,43.300914154,42.561566793,49.581379755,80.653387265,66.300156904,41.914144306,15.747931491,62.667933076,28.991945153,131.079527018
"2038","Snx15",70.938658902,71.17153189,24.29779089,27.152304552,2.13063575,43.19670699,33.45744306,45.015609024,67.442826723,52.555497683,37.494976827,13.51806995,53.793026966,39.968747742,90.875499569
"2039","Mrpl24",117.5259401,98.18972414,40.12683784,54.00999859,12.19990384,87.641507904,76.403759803,81.4980836,116.3242332,95.78094055,61.189743415,24.39641063,105.06490057,69.4028859,195.086609436
"2040","Sec13",117.126522868,94.256377943,43.29556594,51.079153683,6.995730356,72.587464326,71.7793085436,95.137833337,107.947607148,88.142487362,76.37854834,20.277701863,82.883440544,52.410597299,158.556391893
"2041","Mapkapk3",72.865507905,78.901038168,9.417673196,56.201507925,9.21031436,81.95203471,51.5263195832,96.850724014,137.388867916,102.790062962,71.922049796,22.500811523,67.686856372,51.655304902,190.168619773
"2042","Krt85",52.76577456,19.58479075,5.7969184,13.4577354,2.3978953,28.8320752,15.57852856,17.05318526,12.5742528,11.05558378,19.2121326,5.20689845,12.6810873,11.2613211,50.30826297
"2043","Pdia6",118.721433289,88.27212133,29.5319451215,51.286710604,5.736710927,77.248928365,65.202574436,94.775722072,107.018322705,83.385795835,74.054442612,21.788905057,91.31215558,48.6560042325,176.349600428
"2044","Nudt2",71.728302903,69.714573819,23.71735022,40.82133929,11.8568877,61.556263843,58.79708741,45.982643838,71.558630079,66.79355311,42.467088564,13.51137908,80.76502438,45.726200385,144.09190327
"2045","Phlda1",51.657438722,41.185351612,9.280067768,40.029852767,5.260595094,89.55983071,39.036999046,60.778750031,108.122502764,71.818524384,49.370646469,13.84164572,34.065774829,20.81081924,110.666198818
"2046","Tspan13",65.2867180941,33.3482978087,17.376142439,26.428900212,1.67948634,33.980336247,30.891823104,43.368288938,38.7942043985,31.435105929,31.12654286,9.459078686,36.540186897,17.9145255077,95.5652895545
"2047","Mira",46.666175407,51.527434994,8.26926377,30.388017053,5.3528074,32.273620623,48.008624745,33.42261074,55.962156084,45.992867548,28.983405473,9.193038116,42.262076106,16.37108366,73.833932443
"2048","Melk",49.541242503,29.827893062,11.23694192,27.68102058,2.31283336,43.84147274,27.522045204,62.01609493,66.56151579,56.59048561,55.20224228,20.81308669,52.831854995,20.00799818,120.169490634
"2049","Adsl",112.977552868,95.890252603,23.87456696,56.05772797,5.553022245,91.344514274,60.05624643,79.139198761,125.992947715,88.935350811,77.24764212,28.734314108,105.129909799,60.74808123,188.710895778
"2050","Tmem93",129.39445345,101.90679293,37.94360297,59.00053478,12.24715146,87.154141423,86.3190611,83.575487864,127.501653204,106.172553234,81.72518239,25.79010606,118.088080018,67.221235542,214.731416895
"2051","Serpina9",2.350744054,0,2.1620867,3.1422945,0,4.3021122,3.9802452,11.127531975,2.697300755,5.43341451,1.92553745,0,2.98499107,0,11.1271099
"2052","Sucla2",102.997558133,91.687714455,21.774133375,50.837097808,5.31940655,98.3380448059999,68.4938704934,100.415741272,151.1681646,100.529702652,75.9701656989999,20.99427055,111.74509104,59.349139359,203.33367242
"2053","Ugcg",28.477900907,38.614647889,10.315208909,32.0835371995,3.563380635,33.963413481,35.264980406,52.717113912,66.19359618,50.9224450835,49.198255266,13.21977166,40.145473199,33.586493653,114.601846835
"2054","Wwp2",20.482983979,32.3887643065,6.057880657,28.097002888,0.27845411,36.990134203,17.6067865423,48.343931275,74.652288421,57.832246579,35.616397248,12.217803844,37.992437615,32.345189637,104.823478858
"2055","Ptgr1",97.917117895,82.34880926,36.05724535,48.261238326,9.38934484,80.314592814,93.2564031305,68.664380004,90.591222732,58.5847925,53.022163818,13.04372528,83.5379279,25.633340394,137.651423824
"2056","BC031181",105.009828923,94.2657736875,32.805798428,53.69039359,12.87063337,71.798591255,77.9313136,83.4777196004,101.391955996,87.6887384309999,61.838439739,18.5401723,98.339631958,58.7657298407,172.35998437
"2057","X2810013P06Rik",59.439292739,43.1253291976,13.40959583,33.655112781,5.45736943,42.93185562,48.918976517,53.059786787,64.70683607,37.48284292,32.00734063,11.960972064,70.007076243,43.685411567,124.837532206
"2058","Metap1",48.823820686,60.380759759,12.436181261,46.31903802,1.21138863,50.164954564,29.563283908,71.493044878,111.357951259,69.297394831,58.170108448,18.845666694,69.992247673,34.822328396,152.778486668
"2059","Hdac1",110.279683252,105.025401167,25.439771394,58.364401222,8.633443138,93.948751,86.1390872364,87.197617731,125.337644819,99.186247358,68.825111793,28.54648148,115.53355328,61.13352314,193.946209032
"2060","Fxn",91.0396882369999,71.173039628,35.57450544,36.69537584,9.13053865,53.829855356,54.385579517,49.815652604,63.296202882,47.988270616,41.434448484,11.954625927,64.701884509,38.018345525,116.852949397
"2061","B3galt2",2.98469632,1.3786818,4.9911301,1.34099844,0,1.544496465,0.62201333,6.460582716,2.47404179,5.1471996,3.578312615,0,7.13160539,0.75866944,8.496353355
"2062","D17Wsu92e",51.9693077884,35.2296044153,14.331969505,31.235784024,2.39633306,37.358820814,37.200247194,39.03237789,96.752961043,61.202036461,45.6102873995,16.177054268,40.499866311,23.896758962,116.7360200845
"2063","Mogs",46.68064815,54.430845395,4.110842628,45.451343864,1.948130369,69.2543978515,14.099656291,74.74543713,122.145161404,92.540286709,68.850161732,23.60650658,48.208291171,42.2708205675,171.976713993
"2064","Coro1b",122.73345187,110.66103394,35.92188697,63.10025162,7.72223084,111.438138706,82.4417437141001,111.3839717855,148.02826187,124.705095122,87.615432338,29.04562721,121.77656458,84.1776934487,225.751573469
"2065","D17H6S53E",65.861487435,60.163111064,15.326398676,44.937259261,7.49489339,32.727569353,24.6602346567,35.800031503,31.588423254,33.6627267,18.053349755,9.787441962,54.53265221,93.1943026945,115.245980657
"2066","Cdkn3",78.03915013,34.640691523,23.6663607,25.699864231,3.4921418,38.530382407,50.37741615,50.61208154,52.960408563,52.061139549,35.10245813,15.093309812,50.91148158,39.58672944,93.13204091
"2067","Trp53inp2",12.221716469,25.69168528,3.099388781,10.643576328,1.28482106,12.463094815,14.0380809005,12.382953437,29.109308258,26.328772857,14.72113706,9.74450013,10.48599024,14.473261858,37.467590709
"2068","Ppp2r5c",111.06581828,93.719797315,26.231135922,67.92593358,8.49894276,96.911280695,83.3807675315,129.098456536,145.917870417,92.632985566,64.606637096,25.90697959,121.56754203,84.854802893,247.141884615
"2069","X1810035L17Rik",74.810694627,86.662371,41.12848949,46.208919645,8.75210064,39.15981043,84.08979122,28.99923915,94.159190145,77.554300927,60.509446832,22.34368958,108.872684925,62.860612754,166.227307394
"2070","Idi1",69.44166601,40.869091932,4.38897602,44.83101239,0.28513464,36.787768503,10.308751829,87.076135815,89.993119306,67.76281027,63.695049432,22.45521949,45.898029098,21.637289838,138.178920801
"2071","Serpinb6a",108.206101911,107.458001538,32.28363542,58.451052364,8.88487256,96.211340404,82.390692925,92.8306741004,135.518795841,112.375184284,78.053154722,22.969498334,103.780950634,80.793808334,200.062591503
"2072","Bnip1",59.650091244,47.233939034,22.02558317,30.756984842,9.522523,55.28817778,62.08475847,45.513938541,61.298144379,41.171678095,40.491683706,9.54985729,65.258238452,33.101649779,108.622581934
