"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Gsdmc4","Gsdmc4",583.520777,543.4131022,817.6407525,644.345678,486.883154,651.7651842,614.7988529,387.5433814,405.0278759,484.1152308,417.5154464,209.2512177,766.8830995,444.1107736,572.061106
"C2cd4b","C2cd4b",252.6840979,217.3762761,253.732552,223.5561223,94.69059464,85.3125768,124.890614,76.7804248,158.9754641,271.2645687,153.3322491,143.7609127,169.8937449,130.249434,172.6227799
"Chmp4c","Chmp4c",595.8163263,762.0776824,709.7151026,648.2398281,392.0550645,445.0722805,477.4509449,271.659875,546.026637,653.2310123,551.121345,383.1002013,689.9971825,370.2718684,979.6766356
"Btnl1","Btnl1",701.9004524,1064.6298014,876.1193027,871.7622283,649.5310806,616.3915663,734.0556932,436.0874249,770.4167673,824.2890885,730.1636389,526.6284226,875.310336199999,627.6078515,1116.8607889
"Tff3","Tff3",76.4296685,209.6065825,274.1852955,175.7677342,153.1030067,50.8348717,117.23186735,91.825097,165.7548826,292.0076605,274.5370828,96.1758014,136.5576534,128.4706982,378.678218
"X2610528J11Rik","X2610528J11Rik",883.1671162,986.858956199999,1082.816461,702.9206802,708.1508167,679.101398,785.8381584,480.5609955,522.1475518,705.6155245,555.8106725,419.7913211,785.0645173,488.3262107,809.1989927
"X2700086A05Rik","X2700086A05Rik",185.8485115,176.1994101,197.5747003,164.6728097,87.8362325,63.5240189,93.1721241,44.9236961,67.7325658,128.3679337,76.729984,15.0042553,123.891367,28.0602156,120.9928069
"Gm15401","Gm15401",564.5104969,565.7722458,858.5807152,606.3208484,407.8718379,378.3775771,415.4394647,295.3821947,297.9935182,434.9001441,494.1305473,239.9018026,627.5829103,347.8858784,539.1308654
"Ggt6","Ggt6",509.5409058,678.2017781,533.635709,568.1036009,317.5793916,356.3634639,425.2510516,206.1572172,389.60057,445.328555,363.5975358,218.3261589,575.7594512,333.5697959,537.3347799
"H2.Q2","H2.Q2",672.1166047,987.296615400001,699.1564083,798.5764371,438.8993761,718.6808759,615.5285147,420.4540961,646.6641694,596.5878229,580.1054151,475.8935206,834.9842735,476.9548793,927.4416023
"Hoxb9","Hoxb9",479.3004974,574.0423804,401.8205667,487.5782437,361.5483481,451.3877678,371.4071339,231.5283095,287.3238066,347.4763568,224.8435357,130.1315319,400.4980731,299.699728,478.1845886
"Ush1c","Ush1c",791.4744699,1096.4783911,1009.6444194,955.2915081,546.6691133,661.0411873,596.98655065,432.6254334,865.6089532,1005.4828525,705.6941366,519.397127,879.1291611,723.2701753,1251.6615437
"Slc22a18","Slc22a18",856.009865699999,1062.5755545,1090.1192018,828.268783,653.97042162,756.4576569,716.3074747,461.1455887,728.140241,780.6611005,701.1378619,458.6279328,870.648721,594.4475095,1059.6370778
"Arhgef16","Arhgef16",536.1874337,867.811372,698.2014518,771.1544012,333.9296548,532.9831121,399.8003444,312.532179,746.5267907,887.5688433,698.6852408,442.3947844,794.899909,501.8159808,1014.0304051
