"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Mdp1","Mdp1",80.2449888,298.10555623,319.337817,212.1572151,74.0186233,94.5753546,140.4208733,45.3968365,125.0044367,142.390204,214.9927199,194.0968017,95.5568014,69.0428514,252.078402
"Nhp2","Nhp2",323.3811692,551.2229901,506.1802645,438.6068464,194.5913548,155.0122988,204.2166699,228.5965953,242.8798242,230.7636533,546.9940929,469.8027955,141.8124375,154.6518996,580.6972314
"Prkcsh","Prkcsh",236.4444255,410.5970725,369.7909332,372.1134639,123.4367182,139.9906909,150.6354983,107.3156918,221.1945511,292.832001,483.7611581,370.2992225,160.4445697,196.1332996,585.2812182
"Cks2","Cks2",230.7280444,390.4720134,379.1023165,292.446191,97.0531139,95.9215877,151.9951507,94.7384964,175.1960059,285.7444581,448.9616276,392.7804908,153.4691945,139.8102405,598.2073695
"Fut8","Fut8",75.7054179,149.2828864,160.2015367,141.1594726,40.7425481,45.9059453,72.1970055,112.6776743,70.6032119,128.5862105,206.9085383,123.059132,66.7985804,63.6606464,311.1451636
"X0610011F06Rik","X0610011F06Rik",241.327416,530.6527869,377.661209,418.0277921,169.568155,215.878504,213.3291177,190.7149464,230.6626207,225.1010234,500.928265,474.801499,151.8072319,125.2666042,611.0249179
"Apool","Apool",57.8203924,120.721344,101.359307,91.3230618,33.693414,44.9721597,62.2345392,58.3647873,58.6595034,68.7521596,129.4317245,129.3622957,58.9697898,60.9949444,132.460503
"Fastk","Fastk",33.0351053,149.5131477,128.8097552,135.2177965,51.2838117,32.2408561,47.2807578,28.7738697,89.9536244,62.0128862,134.2603727,126.4523217,69.9407378,30.6077361,180.9882919
"Pmpcb","Pmpcb",61.5608805,147.4197206,141.7872869,145.9850534,55.5946745,70.8439776,71.454889,44.7643139,55.5895983,104.9068448,147.9428497,126.7388114,50.4364756,62.2906695,209.1211086
"Fam46a","Fam46a",116.0052511,344.5151279,208.6122305,264.6453679,65.9905953,106.821774,89.0522192,53.9315048,158.2790787,161.9529147,378.9511638,255.0535843,79.1994188,129.4485722,377.8104474
"Rnf5","Rnf5",137.3537169,314.8857117,145.8778124,163.0721989,82.5800957,59.2448832,51.1779567,34.861591,91.5348846,123.556513,248.2373476,202.5690379,70.1414628,71.2001788,239.7311042
"Cyp4f13","Cyp4f13",27.4599142,75.2186325,87.3506869,101.3307525,27.8550793,19.2701414,61.8308591,38.2272287,44.7805375,58.3738915,82.6244409,83.8281273,32.5955986,40.3397591,111.6239293
