"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"11020","P2ry4",23.2227,7.492244,4.241748,4.901913,4.230275,15.68805,10.18828,19.27782,12.37832,16.9415,13.39174,3.400177,36.19126,11.06858,21.3764
"11021","Celf3",7.682527,17.02873,10.1818,4.536156,5.165027,16.27148,9.981187,1.173004,3.251595,2.296604,8.702564,4.014528,8.68099,5.604421,4.45839
"11022","Gm1568",13.04575,7.893988,7.837277,13.75669,3.937369,7.193686,11.27315,10.42355,6.414835,14.19689,9.650138,9.995195,9.569129,9.303974,19.28304
"11023","Tmem132c",15.0111,8.437181,10.34181,4.768241,2.571991,4.957998,20.47339,20.13695,23.61555,17.60466,18.18021,4.080989,13.1349,5.576695,49.08595
"11024","Clasp2",50.99737,58.93646,41.03917,51.64698,14.34485,30.33137,50.42577,27.34096,44.5914,42.14643,40.06169,25.82011,80.20255,126.3904,74.61091
"11025","Cdh24",13.24582,25.65411,13.20304,24.25673,0.7420033,3.757569,5.708317,9.395807,19.28119,10.52742,19.08125,9.974872,8.874941,16.38943,37.21097
"11026","X4930402H24Rik",17.885,38.92076,21.85899,26.61315,4.287276,9.473571,24.55462,19.31599,23.13501,18.09161,23.81025,12.04915,37.33779,26.03278,49.04609
"11027","X9230110C19Rik",12.10716,13.48556,1.158871,13.2092,0.0442964,12.98464,12.18381,18.84088,14.33774,11.64756,12.03813,5.395597,26.31721,13.02105,31.20138
"11028","Scai",16.05039,23.0467,10.1244,14.20297,5.519191,16.32158,21.71444,14.34033,24.87773,20.08906,24.86432,10.32837,26.14808,24.69276,37.8381
"11029","Nol10",39.31519,28.31949,9.946081,31.74493,8.004026,11.39829,16.24166,13.46957,23.57186,29.53983,28.50242,11.01283,39.27317,23.24984,46.08163
"11030","D330041H03Rik",22.75171,24.58789,10.54447,26.38753,9.139467,6.140134,10.6006,10.47216,11.88688,14.53512,21.14262,12.06155,24.83443,22.31974,34.80683
"11031","AA465934",26.46865,13.17463,10.91236,8.973571,8.641758,7.920965,9.865617,8.898139,21.37685,14.49563,18.13038,16.682,38.311,52.31663,35.37855
"11032","Micall1",20.93433,21.77011,27.145,20.97112,12.01642,19.45427,14.97028,11.24433,17.51283,20.5484,31.75561,15.13535,27.54781,15.38232,46.35226
"11033","Klhl20",27.79178,18.69856,10.26574,23.25688,7.783033,12.40773,24.94419,18.75803,21.11371,22.85065,22.43956,8.504347,27.00219,13.30395,35.57676
"11034","Adhfe1",20.1392,16.02517,18.94463,36.00586,13.66616,33.80885,25.45793,20.92697,20.66226,20.89704,13.25408,4.512971,37.25677,22.53813,36.71897
"11035","Lrrtm2",13.09312,19.41232,7.994551,18.86224,2.403463,0.7233679,3.980129,10.70394,13.60262,22.67,32.11148,16.76431,22.90646,11.11998,46.39392
"11036","Rad54b",16.59071,11.21543,13.16249,15.7825,5.496954,10.47862,18.65679,15.02691,23.96628,20.50495,27.84005,16.38729,23.53436,8.510387,55.71362
